Accession	Description	Gene	Sum PEP Score	Coverage in Percent	Number of Peptides	Number of PSMs	Number of Unique Peptides	Number of AAs	MW [kDa]	calc. pI	Number of Peptides (by Search Engine): A2 Sequest HT	# Peptides (by Search Engine): AA2 Sequest HT	# Peptides (by Search Engine): AB2 Sequest HT	# Peptides (by Search Engine): AC2 Sequest HT	# Peptides (by Search Engine): AD2 Sequest HT	# Peptides (by Search Engine): AE2 Sequest HT	S1rep1	S1rep2	S1rep3	S2rep1	S2rep2	S2rep3
A9UMV9	NADH:ubiquinone oxidoreductase subunit A7	Ndufa7	12.905	27	3	92	3	112	12.5	10.48	2	3	2	2	2	3	9812900.875	8791828.625	8245212.375	6850153	6290120.625	5596169
B5DF65	Biliverdin reductase B	Blvrb	38.757	26	4	91	4	206	22.1	6.8	2	2	3	2	3	2	18736913.84	13369403.19	13689062.75	15764029.63	14343899.16	14101156.11
B2GUV5	V-type proton ATPase subunit G	Atp6v1g1	23.353	37	3	91	2	118	13.7	7.28	2	2	2	2	2	3	2556816.813	2377618.75	2775061.797	2092321.383	1724793.281	1759844.359
D3ZD09	Cytochrome c oxidase subunit	Cox6b1	24.958	52	4	91	4	86	10.1	8.72	3	2	1	2	2	1	9658676.25	8633388.375	8774634.688	3407396.719	3011073.656	2721927.656
B5DF55	RCG55706	Stam	30.715	15	7	89	7	547	59.6	4.86	2	2	2	3	3	2	6124998.375	5479116.594	5678046.781	4627600.031	4495368.641	4073366.359
B2RYS8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	Ndufb8	12.993	21	3	89	3	186	21.9	6.05	3	3	3	2	2	2	5288068.375	4788107.188	4818166.938	2601631.531	2305992.75	2389016.469
B2RZ27	SH3 domain binding glutamic acid-rich protein-like 3	Sh3bgrl3	17.544	27	2	89	2	93	10.5	5.14	2	2	2	2	2	2	8171346.75	8250515	7635308.125	6350618.25	6380078.5	5489403
B0BNJ1	LOC683667 protein	Sri	12.965	22	3	88	3	198	21.6	5.9	2	2	3	3	3	2	4329489.25	4765302.938	4861454.438	3676493.625	4163257.813	4497568.625
D3ZRM5	RAB23, member RAS oncogene family	Rab23	25.029	29	5	88	5	237	26.6	6.79	4	2	1	1	2	3	2178389.188	2352132.109	1861767.266	1654145.188	1436876.906	1495016.422
B2RZB7	Small nuclear ribonucleoprotein Sm D1	Snrpd1	25.995	28	2	87	2	119	13.3	11.56	2	2	2	2	2	2	1197352.406	1523246.469	2540619.438	2387313.125	2203990.375	2149889.422
D3ZC63	Cytidine/uridine monophosphate kinase 2	Cmpk2	26.057	23	8	86	8	447	50.1	7.24	4	2	1	1	2	2	3963890.094	3786062.656	3757112.531	3133772.672	2783844.578	2057120.672
A2RUW1	Toll-interacting protein	Tollip	24.847	23	5	84	5	274	30.3	5.17	2	2	2	1	3	3	6739870	5411251.313	5718641.625	4572653.938	4614398.375	4466669.844
B0BNA7	Eukaryotic translation initiation factor 3 subunit I	Eif3i	21.49	25	5	84	5	325	36.4	5.64	2	2	2	1	2	2	1246005.75	1100393.969	1154588.094	941549.3125	782366.6563	1153286.313
B2GV15	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	Dbt	29.829	18	6	82	6	482	53.2	8.41	1	2	1	3	2	4	36780398.78	36792768.47	36594759.97	28792760.05	23463545.03	20900528.58
D3ZS58	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	Ndufa2	14.865	34	3	82	3	97	10.8	9.72	1	1	3	3	3	3	5610514.625	4808395.75	4637036.25	3346590.125	3594948	3281185.563
D3ZF26	Tankyrase 1-binding protein 1	Tnks1bp1	81.077	17	17	77	17	1705	179.9	4.79	2	3	3	2	3	3	5213648.125	6227213.797	5867937.438	5091149.164	5102438.102	4355878.484
D3ZGN2	Copine 5	Cpne5	18.141	8	4	77	3	593	65.6	5.77	2	2	1	1	1	2	2764062.813	3025043.125	3051572.031	1873727.766	1612778.031	1730212.031
B1WBY5	DnaJ (Hsp40) homolog, subfamily C, member 11	Dnajc11	16.357	11	5	77	5	559	63.2	8.32	2	2	2	1	3	1	41675947.09	37942329.41	36575827.81	37898597.88	35417649.75	31497745.03
D3ZBN0	Histone H1.5	H1-5	15.086	18	3	76	3	222	22.6	10.96	3	2	2	2	2	2	5366419.125	3450662.375	5191606.5	1346034.625	2588668.063	1139885.094
B2GV73	Actin-related protein 2/3 complex subunit 3	Arpc3	14.5	17	3	75	3	178	20.5	8.6	3	2	1	1	3	2	10577107.13	10274766.75	7418567.75	8411266.125	7675907.5	7083724.25
D3Z900	Mitochondrial amidoxime reducing component 2	02-mars	11.833	7	2	74	2	338	38.2	8.68	2	2	2	2	2	2	2756499.75	2546461.5	2651906.656	1692120.172	1380610.641	1020257.5
D3ZET9	Centrosomal protein of 170 kDa-like	LOC100909664	21.789	6	5	73	5	1139	125.7	6.8	3	2	3	2	3	3	1424496.469	1476792.531	1196556.516	983423.6719	955698.8906	815422.8984
D3ZAF6	ATP synthase subunit f, mitochondrial	Atp5mf	10.535	24	2	73	2	88	10.4	10.04	2	2	2	2	1	2	6573955.875	5904421.875	5695972.75	4976836.75	4814796.625	4511860
A0JN30	Canopy 2 homolog (Zebrafish)	Cnpy2	19.662	24	3	73	3	182	20.7	5.14	2	3	2	2	2	2	1564234.469	1522787.281	1266863.594	1103752.781	1140852.125	1052398.125
D3ZD23	ATP-binding cassette subfamily E member 1	Abce1	15.356	8	4	72	4	599	67.3	8.34	2	3	2	2	2	1	2079182.969	1413441.938	2098170.063	1820909.375	1541870.859	1436976.797
D3ZQ02	WD repeat domain 37	Wdr37	13.821	8	3	72	3	449	49.8	7.2	2	2	1	1	1	2	2824578.438	2307300.672	2621394.234	1967972.656	1817432.156	1622050.828
B0BNG3	Lectin, mannose-binding 2	Lman2	10.593	9	2	70	2	358	40.4	6.95	1	1	1	2	1	2	1161483.844	1252847.625	974543.3438	913107.8125	904556.6563	779079.25
D3ZLL8	40S ribosomal protein S15a-like	LOC100909878	17.756	28	4	70	4	130	14.8	10.13	3	2	2	1	1	3	6798699.25	6676730.875	6465550	3865130.938	4041665.125	3441504.938
D3Z8I7	Glutathione S-transferase, theta 3	Gstt3	25.709	20	3	69	3	210	23.4	9.09	1	2	2	2	2	1	2678756.313	3209051.531	2986871.813	2678528.625	2367624.828	2107573.875
D3ZFA8	40S ribosomal protein S17-like	LOC100362366	20.599	32	3	69	3	135	15.5	9.77	1	1	1	2	1	1	7615348.156	6627067.219	5793168.438	4153389.188	3158533.203	3197199.078
D3ZAS2	Small G protein-signaling modulator 1	Sgsm1	30.908	11	7	67	7	1093	123.3	5.64	1	1	1	4	2	1	2099386.172	2282767.063	2171193.578	1650197.164	1634574.297	1898667.289
D3ZE85	DOMON domain-containing protein FRRS1L	Frrs1l	21.693	17	4	66	4	293	32.4	5.43	2	1	1	1	1	3	1817062.875	1701353.625	1910159.969	1185363.313	1144611.375	1093068.672
B0BN30	Mitochondrial carrier 1	Mtch1	19.023	17	5	64	5	389	41.6	9.32	2	4	2	2	1	2	4968810.922	5484082.594	5135709.313	2610047.344	2511024.906	2046433.344
B0K008	Eukaryotic translation initiation factor 1	Eif1	16.801	64	4	63	4	113	12.7	7.44	3	1	2	2	2	1	2119290.188	1703616.5	1508561.188	1524328.875	1410735.813	1243686.25
B5DEI0	Pcyox1l protein	Pcyox1l	18.496	9	3	63	3	494	54.6	7.65	1	2	1	1	1	1	2360101.563	2279273.813	2199922.5	2001124.906	1668622.75	1616215.219
A2VCX1	TIP41-like protein	Tiprl	16.128	23	4	61	4	271	31.2	5.52	1	2	1	2	2	2	3718179.375	3469099.906	3704246.406	2531400	2180280.531	2524605.094
B2RYW3	NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 9	Ndufb9	14.45	16	2	60	2	179	21.9	8.07	2	1	2	2	2	1	2176794.563	1954716.25	1648674.5	1381320.156	1477884.281	957357.4531
B2RYA8	DnaJ heat shock protein family (Hsp40) member B2	Dnajb2	8.416	8	2	59	1	277	30.7	4.89	1	2	1	1	2	2	785559.875	678449.9375	720015.875	563908.875	476707.125	500346.8125
D3ZJD3	Ribosomal_L28e domain-containing protein		7.967	22	3	58	3	137	15.6	11.93	1	1	1	1	1	2	5128693.438	4556363	4880777	2743060.156	2738026.719	2409629.844
A1L1K8	Intracellular hyaluronan-binding protein 4	Habp4	14.631	8	2	57	2	411	45.8	6.84	1		2	1	2	2	1003586.219	979251.2188	1040304.75	824295.2188	723204.1563	725976.875
B0BNJ4	ETHE1, persulfide dioxygenase	Ethe1	14.134	28	4	57	4	254	27.7	7.06	1	1	1	1	1	1	3685312.438	2990200.688	2651444	2684118.219	2674254.5	2312891.719
D3ZER6	Transportin 2	Tnpo2	15.656	6	4	57	1	913	102.8	5	3	1	2	2	1	1	895231.9375	1019090.188	879740.125	626149.875	720150.1875	599615.125
D3ZPN3	Myeloid leukemia factor 2	Mlf2	10.692	22	3	55	3	247	28	6.98	3	2	2	1	3		5415932.086	5082563.25	4932578.219	3989841.469	3596085.563	3593774.734
D3ZHL1	Kinase suppressor of ras 1	Ksr1	16.441	7	2	54	2	520	58.4	7.74	1	1		2	1	1	769688.9063	757847.7188	785001.1563	758449.1875	679691.875	618393.6406
D3ZC15	Capping protein regulator and myosin 1 linker 2	Carmil2	22.303	6	5	54	5	1368	148.3	6.93	1	3	3	2	2	1	1506314.094	863928.4375	1314193.469	1063319.625	741897.0625	1074692.656
B5DEY8	Sorting nexin	Snx6	12.171	12	4	54	3	406	46.6	6.16	2	2	1	2	1	2	1320386.5	1239014.938	1257943.563	978397.375	712163.4375	1046021.844
B2RZD1	Protein transport protein Sec61 subunit beta	Sec61b	8.978	28	2	53	2	96	10	11.56	1	2	1	1	2	1	813807.125	963334.875	1031837.969	880819.7969	721405.8281	635378.8281
B4F7A9	Casein kinase 2 alpha 2	Csnk2a2	22.785	17	4	52	4	350	41.2	8.56	1	3	1	1	1	2	2967858.813	2729441.563	2477872.656	2360564.469	2056802.156	1133725.625
D3ZSA9	Nodal modulator 1	Nomo1	27.526	8	7	51	7	1214	133.4	6.07	2	1	1	1	1	2	8746252.656	8872269.969	8622780.891	7525873.453	6474955.969	6211894.125
D3ZSU7	Migration and invasion enhancer 1	Mien1	6.581	18	2	51	2	115	12.3	4.51	1	1	1	1	1	1	1882663.188	1823882.25	2090912	1325062.969	1519745.563	1262057.156
D3ZC56	Dystonin	Dst	63.642	3	16	50	15	7512	846.7	5.34	1	1	2		2	1	5767804.734	4408166.828	5860924.781	4827103.766	3798624.172	4276636.531
D3Z9D0	Similar to KIAA1549 protein	RGD1306271	30.042	7	7	50	7	1867	201.8	5.81	1	2	1			3	2611775.031	2987199.813	3289650.125	1760943.063	1986712.594	1945464.906
D3ZHG8	ADP-ribosylation factor-binding protein GGA3	Gga3	28.551	18	8	50	7	658	71.7	5.64	1		2	1	2	1	2908318.031	2956956.063	2792582.547	2072902.563	1848602.063	1957269.109
D3ZI16	COP9 (Constitutive photomorphogenic) homolog, subunit 6 (Arabidopsis thaliana) (Predicted), isoform CRA_a	Cops6	18.136	15	3	49	3	344	37.7	6.14	1	2	1	1	1		7761540.094	7810894.156	7746807	5220250.25	4536483.078	4426019.125
B4F763	VPS53 subunit of GARP complex	Vps53	21.263	9	5	48	5	803	91.1	6.61		3		2	1	1	2335083.344	1976047.25	2054482.438	1803915.469	788270.5625	686297.375
D3ZL85	Cytochrome c heme lyase	Hccs	13.32	10	2	48	2	274	31.1	6.73	1	1	1	1	1	2	1351662.563	1300957.188	1261651.594	1182886.063	1077620.969	868849.0625
B1WC26	N-acetylneuraminate synthase	Nans	17.252	13	3	47	3	359	40	6.84	1	2	1	2	1	2	3392788.688	3229312.438	3037159.063	2869884.438	2597100.188	2242983
D3ZJK6	Trafficking protein particle complex 9	Trappc9	15.8	4	3	45	3	857	95.3	6.96	2	1			1		602691.6641	614795.0703	1036558.727	747795.7344	679982.8906	630107.7422
D3ZPN7	Uncharacterized protein		10.685	9	1	44	1	160	18.7	10.55		1	1	1	1	1	2605611.688	2517701.156	2282188.375	1661078.875	953882.1875	1314604.563
D3ZJ86	Sodium/hydrogen exchanger	Slc9a6	16.045	7	3	44	3	721	79.8	6.11	1	2		1	1	1	1171618.313	835183.0938	1229709.453	740468.8906	947666.2656	993153.3125
B2RZD4	60S ribosomal protein L34	Rpl34	7.194	15	2	43	2	117	13.3	11.47	1	2	2	1	2		3085104	3118602.125	2954378	1949692.438	1720320.063	1602010.625
D3ZDX5	Plexin B1	Plxnb1	34.734	5	7	43	7	2121	231.7	5.6	1		1	1	2		4523649.844	3873139.438	3302878.469	2816119.531	3398807.844	2762164.953
D3ZMJ7	WNK lysine deficient protein kinase 2	Wnk2	22.999	6	6	42	6	2063	218.2	5.77	1	1		2	1	2	1283257.5	1023124.031	1067357.703	749415.2188	1018920.875	819105.8438
B2RYQ5	Enhancer of rudimentary homolog	Erh	12.109	28	2	42	2	104	12.3	5.92	1	1	1	1	1	1	2496723.75	2125801.5	2021084.25	1397603.875	1373406.375	1311245.375
B2GV87	Receptor-type tyrosine-protein phosphatase epsilon	Ptpre	15.38	7	5	42	4	699	80.7	7.02	2	2	2		1	1	2154450.25	1814557.188	1496647.234	1534229.688	1291502.656	1346211.688
D3ZBT9	Protein phosphatase 6, regulatory subunit 3	Ppp6r3	14.075	6	4	41	4	873	97.5	4.6	1	1	1	2		1	857972.8125	591565.625	1793105.031	746250.7813	476904.5625	564485.4844
D3ZMY7	5'-nucleotidase, cytosolic II	Nt5c2	19.144	11	4	41	4	586	67.7	6.74	3	1	2	1	1	2	1704789.359	1986480.781	2055614.375	1797677.938	1712073.656	1454847.719
D3ZPT0	Proline-rich 36	Prr36	17.158	7	4	41	4	1050	105.1	10.13	1	2	1	2		2	1723742.438	1727093.047	2098265.531	1156936.563	853196.6875	634396.9531
D3ZML2	Serine/threonine-protein kinase BRSK2	Brsk2	14.128	4	2	40	2	735	81.4	8.95	1		1		2	2	1274343.875	1432277.313	1202874.688	1176890.656	343255.8125	971680.2813
D3ZKX8	Family with sequence similarity 169, member A	Fam169a	17.075	7	3	39	3	663	73	4.68	1	1	1		2	3	295033.8125	428758.3906	971573	220419.2188	621149.1875	120238.5234
D3ZCF8	ATP-binding cassette, subfamily A (ABC1), member 8a	Abca8a	37.255	7	8	39	8	1624	184.8	7.25			1	1	1		4146202.547	4066415.047	4316854.141	4306031.813	3750743.656	3946969.203
D3ZA93	Acyl-CoA thioesterase 13	Acot13	10.353	16	2	38	2	140	15.3	8.84		1				1	2883101	2834050.5	2971689.375	1893682.188	808892.125	658742.75
B4F7C1	G protein-coupled receptor 37-like 1, isoform CRA_a	Gpr37l1	9.354	5	2	38	2	481	52.8	7.18	2	1	1	1	1	1	5018722.5	4769429.5	4480112	3879329.25	3444703.25	3440579.75
B0BN18	Prefoldin subunit 2	Pfdn2	14.101	23	3	37	3	154	16.6	6.58			2	1		1	3128972.438	3362097.125	3144437.5	2506070.5	2365778.125	2024749.875
C6ZII9	NAD-dependent protein deacetylase	Sirt3	7.759	7	2	37	2	320	35	7.42	1	1	1	1	1		630434.5	420083.1563	554575.5	606633.9375	525439.3125	529863.3125
B0BMT9	Sqrdl protein	Sqor	10.121	6	2	37	2	450	50.2	9.07		2				2	1145668.406	1195138.75	1213523.813	1118449.313	943362.375	823927.0625
B0BNB9	HtrA serine peptidase 2	Htra2	16.599	9	3	36	3	458	49.1	9.5	1				1	1	1862205.063	1796989.938	1702988.375	1220385.156	1147350.75	1004509.406
D3ZH36	Extracellular leucine-rich repeat and fibronectin type III domain-containing 2	Elfn2	32.809	14	7	35	5	820	89.9	7.33	2		1	2	2		2867224.625	2747239	2680603.5	1985321.125	1992345.094	1824312.531
B2RZ08	RGD1563325 protein	Tmem263	14.289	30	2	35	2	115	11.5	9.32	1	2		1	1	1	1030324.063	924480.2031	1124639.266	1482456.563	1126783.047	1158622.672
D3ZMS1	Splicing factor 3b, subunit 2	Sf3b2	5.264	1	1	34	1	878	98.1	5.62	1			1	1	1	873531.9375	952591	844543.75	609447.5	619166.375	600192.375
B4F795	Choline transporter-like protein 2	Slc44a2	10.656	10	4	34	4	705	79.8	8.79		1				1	1778684.594	1871555.5	1861074.344	1274356.781	1207106.406	1157245.578
B0BN46	Glyoxylate and hydroxypyruvate reductase	Grhpr	24.929	22	5	33	5	335	35.9	7.93	2			1	1		4523334.563	4774668.375	4591584.688	3559927.906	3310176.672	3330301.188
B2RZ38	Ras-related GTP binding D (Predicted), isoform CRA_b	Rragd	12.163	11	3	32	3	399	45.1	4.92	1		2		1	1	1142178.625	1416522.688	1230573.125	966542.875	809675.1563	928100.5625
A6JUQ6	Clavesin-2	Clvs2	16.343	14	3	32	2	327	37.9	6.06		1	1	2	1	1	1075329.375	1188656.281	523485.375	875505.8438	382680.1563	727117.4063
D3ZMS0	Protein C10-like	LOC100911713	9.791	25	2	32	2	126	13.2	5.14	1	1		1	1		696455.3125	211083.9219	530748.1094	482986.4219	264040.5	159851.3125
D3ZIE9	Delta-1-pyrroline-5-carboxylate synthase	Aldh18a1	30.905	16	9	32	9	795	87.3	7.56	3	1	1			1	2064003.641	2450502.219	2404623.719	1926641.313	1578707.859	1376722.719
B2RZ79	Iron-sulfur cluster assembly enzyme	Iscu	10.982	22	2	31	2	167	18	9.29	1	1	1				908193.5938	604917.8125	633768.75	468312.3438	432856.1563	717121.3125
D3ZLT1	NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 7 (Predicted)	Ndufb7	11.152	21	2	31	2	137	16.6	8.46	2	1	1		1	1	1379550.125	1436318.563	1361836.625	593714.5469	241138.875	541581.7969
D3ZKI5	PHD finger protein 3	Phf3	3.476	0	1	30	1	2020	225.2	6.87		1	1	1	1	1		211244.4063		337411.4063	988358	800805
B2RYS6	Hypoxanthine phosphoribosyltransferase	Prtfdc1	11.136	14	3	30	2	225	25.5	6.3	1		1		2	1	865830.9375	785701.0313	760773	618827	605606.2188	599450.3594
B5DES0	Small nuclear ribonucleoprotein Sm D2	Snrpd2	10.295	33	3	28	3	118	13.5	9.91		2		1	1	1	1132283.359	1061965.844	1074718.781	963229.3125	895642.25	871349.9844
B0K030	DnaJ (Hsp40) homolog, subfamily B, member 1 (Predicted), isoform CRA_b	Dnajb1	11.01	11	3	28	3	340	38.1	8.63	1	1	1			1	2088195.594	1231207.75	1245589.375	1005265.094	1377406.313	879017.7188
B0BMX3	S100 calcium binding protein A16 (Predicted), isoform CRA_a	S100a16	9.729	27	3	28	3	123	14.2	5.52	1	1	1	1		1	2959930.031	2755856.406	2666535.938	1973447.125	1886936.125	1848545.969
B2GUW3	Hdac11 protein	Hdac11	10.023	10	2	28	2	347	39.3	7.69		1		1			1154265.438	1232566.188	663518	1076356.563	1038678.375	905274.7813
D3ZIP8	Uncharacterized protein		6.71	4	1	28	1	347	38.1	8.05	1	1	1	1	1		713347.125	751233.625	864022.625	485309.5313	300408.6563	349083.0625
B2RYC9	Glucosylceramidase	Gba	14.528	9	4	27	4	515	57.5	7.39	2		1	1	2	1	3771811.813	3246922.5	3200349.688	2381085.563	2224670.719	2216688.031
B0BN83	Armadillo repeat-containing protein 1	Armc1	13.859	17	3	27	3	282	31.2	5.57	2	1		1		1	3263897.063	2904292.688	2798227.625	2165986.281	2068010.375	1779050.625
D3ZG95	Mitochondrial calcium uptake family, member 3	Micu3	16.15	14	5	26	5	499	56.8	6.49	1	1	1	2			1438810.656	1773043.656	1728748.156	1136675.516	1245971.969	895303.4375
D3ZKQ4	RAB, member RAS oncogene family-like 6	Rabl6	17.927	9	4	25	4	731	80.2	5.48		2	1	1	1	1	2144846.531	1919764.688	1946064.5	877236.5313	715610.2813	634943.0938
B1WBW4	Armadillo repeat-containing protein 10	Armc10	13.633	11	2	25	2	306	33.4	7.97	2	1	1				1088224	1184757.75	938408.2188	810431.9063	705274.9375	616119.5313
B5DFL0	Snta1 protein	Snta1	5.195	4	2	24	2	499	53.3	6.8	1	1	1				1130640.313	1361629.688	1116051.219	908362.9688	884323.4375	728917.0938
B5DEZ6	Glucosamine-6-phosphate isomerase	Gnpda2	8.293	9	2	24	1	276	31	6.74		1		1	1	1	747542.625	496092.8438	629617.5	312273.9688	500858.8438	378463.1875
D3ZFR9	Retinol dehydrogenase 13	Rdh13	4.278	4	1	24	1	334	36.4	8.87	1	1				1	555231.6875	601220.8125	613705.875	494144.4375	501135.0313	461959.5625
B2RYD7	RCG25591, isoform CRA_a	Stt3b	10.707	5	3	23	3	824	93.4	9.01					1	1	497310.1875	31603895.91	516389.3438	417038.9688	16582548.84	299935.3125
D3ZM09	Seryl-tRNA synthetase 2 (Predicted)	Sars2	9.348	6	2	23	2	518	58.3	8.06		1	1	1	1	1	1856191.469	1797338.344	1948631.313	1716287.188	1317396.313	1361402.5
B5DEL8	NADH dehydrogenase (Ubiquinone) Fe-S protein 5	Ndufs5	12.499	23	2	22	2	106	12.7	8.92	1	1	1	1		1	2430430.5	2387235.438	1919710.938	2019869.125	1910249.281	1643212.188
B0K017	ADP-ribosylhydrolase like 2 (Predicted)	Adprhl2	18.047	16	4	22	4	370	39.4	4.96				2			1240357.656	1271949.469	1249901.844	927278.8438	716011.875	899435.7188
A0JN29	Limb and neural patterns	Lnpk	9.776	13	3	21	3	376	42.1	9.25	1				1		1568355.219	1234847.344	1074912.5	1069329.25	1002257.258	790628.8125
D3ZDB9	NmrA-like family domain-containing protein 1	Nmral1	12.818	10	2	21	2	305	33.9	6.62		1			1		758971.6875	747301.0469	749085.2813	628381.3594	360525.3125	566548.4063
D3ZC89	Uncharacterized protein		15.733	11	4	20	4	499	54.4	4.91	2			1	1		13385965.25	12481325.06	12056785.25	6309133.219	6293454.813	5956120.688
D3ZE72	Methionine aminopeptidase	Metap1	2.889	3	1	20	1	386	43.2	7.17	1	1			1	1	357764.2813	279765.9063	441457.9063	256127.2969	239499.4688	233043.75
D3ZN79	Uncharacterized protein		4.009	8	1	20	1	123	14.5	10.83		1					1583379.625	1658964.875	1534700.75	833839.1875	884766.1875	830971.625
D3ZGY2	OTU deubiquitinase 6B	Otud6b	10.823	9	2	19	2	285	32.8	6.02		1		1			1887888.438	1483079.828	1751407.672	1261989.219	1019770.859	1133684.719
D3ZK73	Cullin 4B	Cul4b	11.865	3	3	19	3	971	110.7	8.44	2		1		1	1	1104268.313	612462.4375	753792.4375	398881.9375	162736.9688	701765.0938
D3Z9L5	WD repeat domain 11	Wdr11	6.516	2	2	19	2	1224	135.7	7.12	1	1	1				1670844.5	1574875.781	1264934.25	332251.4688	1183170.406	1063687.969
D3ZD97	DEAH (Asp-Glu-Ala-His) box polypeptide 15 (Predicted), isoform CRA_b	Dhx15	10.677	4	3	19	3	795	90.9	7.46		1	2			1	1795336	1344167.188	1625101.469	1001762.188	1160634.5	843088.6563
D3ZP15	RAB9B, member RAS oncogene family	Rab9b	7.808	8	1	18	1	201	22.7	4.93	1			1		1	710681.625	689430.625	577673.625	488539.875	542408.9375	461299.25
D3ZE26	Similar to RIKEN cDNA 1110063G11 (Predicted)	Tmcc2	11.043	8	3	18	3	706	77.1	6.76	1			1	1		571116.8125	472160.25	469041.3438	378089.3125	379343.0313	333892.0938
B2RYF6	CLPTM1 regulator of GABA type A receptor forward-trafficking	Clptm1	9.607	5	3	17	3	664	75.2	6.01		1					10448078.25	9673274.063	8447588.563	7484775.375	6794199.969	6793792.547
D3ZH40	OTU deubiquitinase 7B	Otud7b	3.99	2	2	17	2	841	91.9	6.86	1			1		1	1259216.344	1155205.438	1399033.406	890474.5938	691235.3281	796573.8125
B5DEH2	Erlin-2	Erlin2	10.283	8	2	16	2	339	37.7	5.74		2	1	1			1823512.063	1595721.813	1799585		708578.5313	
D3ZKG1	Methylmalonyl-CoA mutase	Mmut	12.297	7	4	16	4	833	92	7.72	1		1			1	2149326.031	2089339.313	2476594.063	1079511.797	1410244.625	1358663.219
D3ZG85	Cyclin-dependent kinase-like 5	Cdkl5	12.906	4	3	16	3	934	105.1	9.61							537809.4219	473222	859001.2656	738948.4688	488790.7969	649282.4766
D3ZI07	Kinesin-like protein	Kif3b	14.218	5	3	16	3	747	85.2	7.69	1	1	1				667181.1875	741169.5	671264.5	572451.75	624471	593490.6875
B5DF46	Phosphomannomutase	Pmm2	9.191	15	3	16	3	242	27.7	7.3			1	2	1		1494511	1717049.813	1498507.969	1203695	1090969.328	1082472.188
D3ZCJ3	Major facilitator superfamily domain-containing 6	Mfsd6	4.359	2	1	15	1	794	87.9	5.81	1	1	1			1	838246.0313	1161658.469	638663.1875	719662.6406	716630.7813	545712.875
D3Z9D2	FYVE and coiled-coil domain autophagy adaptor 1	Fyco1	2.909	1	1	15	1	1451	163.5	5.07		1	1	1			2421133.75	2400701.25	2012494.625	1534555	1321609.625	1197357.25
D3ZLU0	C2 calcium-dependent domain-containing 4C	C2cd4c	15.709	13	3	15	3	422	44.9	9.74			1	1	1	3	6202194.5	6200894.031	6358762.984	5158350.391	4492578.5	4448756.5
D3ZCS3	Poly(rC)-binding protein 4	Pcbp4	6.251	6	2	15	2	403	41.4	8.16		1		1			6932193.453	6486222.977	6431314.57	4405330.5	4506796	3871783.5
D3ZAZ0	Eukaryotic translation initiation factor 3 subunit M	Eif3m	10.974	11	3	14	3	374	42.5	5.74	1				1		3292379.75	2894546.75	3299200.5	2573355.25	2170651.5	2225217.25
D3ZLI9	PDZ domain-containing 4	Pdzd4	2.975	1	1	14	1	766	86.1	6.05	1						1209800	1078208.625	960801.25	721866.5625	468050.2188	486016.375
D3ZFJ6	Lactamase, beta	Lactb	5.2	5	2	14	2	550	60.4	8.82		1	1				953608.3438	882860.1563	905690.6875	421367.6875	440779.4063	639402.7188
B0K010	Thioredoxin domain-containing 17	Txndc17	4.536	11	1	14	1	123	14.1	4.93	1	1		1		1	584020.875	463828.8125	410780.0938	459344	450906.5625	339279.875
B2GV57	Cysteinyl-tRNA synthetase 2, mitochondrial	Cars2	3.602	2	1	13	1	550	60.9	8.29	1		1	1			792478	800491.4375	869096.6875	510035.9063	448234.75	512122.3438
D3ZAG3	Microtubule-associated protein 9	Map9	4.721	2	1	12	1	646	73.6	7.3		1	1			1	2758357	2693218.688	2368976.656	2288905.75	2118650.797	1767700.953
D3ZRN5	Ro60, Y RNA-binding protein	Ro60	8.279	4	2	12	2	538	60	8.06		1	1				2785039.938	2286333.938	2618366.25	1345257.625	1683107.625	1109588.906
D3ZR63	Glucose-fructose oxidoreductase domain-containing 1	Gfod1	3.485	3	1	11	1	390	43.2	5.92				1			492746.4063	545380.3125	617137.75	513052.9063	449516.125	354315.8125
D3ZBM3	Ferrochelatase	Fech	6.389	7	2	11	2	422	47.5	8.72						1	1846252.063	1255472.5	1494359.656	493061.6563	1026981.656	814314.6875
D3ZEW7	Nitric oxide synthase, brain	Nos1	13.424	4	4	11	4	1463	164.2	7.21	1			1			1171754.281	1234540.063	989085.9375	555556.3906	693563.7031	547124.7969
D3ZA85	Histone cell cycle regulation defective interacting protein 5 (Predicted), isoform CRA_a	Nfu1	7.871	11	2	10	2	253	28.3	4.96				1			1199041	1211290.063	1111560.469	958450.125	791556.7188	759911.25
B2RYN7	Spastin	Spast	5.7	8	2	10	2	581	63	9.74		1	1		1		777857.1875	670272.0625	726789.5	375365.7188	413046.4375	466268.75
D3ZBS2	Inter-alpha-trypsin inhibitor heavy chain H3	Itih3	6.762	3	2	9	2	887	99	6.32	1						1067131.906	1219397.219	1179919.531	776599.3906	673670.375	712124.4531
D3ZJF8	Fc fragment of IgG-binding protein	Fcgbp	3.056	0	1	9	1	2584	275	5.08		1	1		1		11280293	10164873	9643796	8166115	7233355	7121979
