Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Razor + unique peptides 25000am.1	Razor + unique peptides 25000am.2	Razor + unique peptides 25000am.3	Razor + unique peptides 2500am.1	Razor + unique peptides 2500am.2	Razor + unique peptides 2500am.3	Razor + unique peptides 250am.1	Razor + unique peptides 250am.2	Razor + unique peptides 250am.3	Unique peptides 25000am.1	Unique peptides 25000am.2	Unique peptides 25000am.3	Unique peptides 2500am.1	Unique peptides 2500am.2	Unique peptides 2500am.3	Unique peptides 250am.1	Unique peptides 250am.2	Unique peptides 250am.3	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	iBAQ	iBAQ 25000am.1	iBAQ 25000am.2	iBAQ 25000am.3	iBAQ 2500am.1	iBAQ 2500am.2	iBAQ 2500am.3	iBAQ 250am.1	iBAQ 250am.2	iBAQ 250am.3	LFQ intensity 25000am.1	LFQ intensity 25000am.2	LFQ intensity 25000am.3	LFQ intensity 2500am.1	LFQ intensity 2500am.2	LFQ intensity 2500am.3	LFQ intensity 250am.1	LFQ intensity 250am.2	LFQ intensity 250am.3	Potential contaminant	id	Peptide IDs	Peptide is razor	Oxidation (M) site IDs	Oxidation (M) site positions
"sp|P24000|RL24B_YEAST;sp|P04449|RL24A_YEAST"	"sp|P24000|RL24B_YEAST;sp|P04449|RL24A_YEAST"	"4;4"	"4;4"	"4;4"	"sp|P24000|RL24B_YEAST 60S ribosomal protein L24-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL24B PE=1 SV=1;sp|P04449|RL24A_YEAST 60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN"	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	20	20	17.547	155	"155;155"	0	20.859	3134300000	391790000	14921000	16181000	15689000	13737000	14081000	15004000	14064000	16027000	17260000	131440000	113720000	119000000	121220000	124480000	128020000	127020000	139080000	150970000		131	"470;2599;3225;4763"	"True;True;True;True"		
sp|P04456|RL25_YEAST	sp|P04456|RL25_YEAST	5	5	5	sp|P04456|RL25_YEAST 60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL25 PE=1 SV=4	1	5	5	5	5	4	5	5	5	5	5	4	5	5	4	5	5	5	5	5	4	5	37.3	37.3	15.757	142	142	0	68.777	5426200000	678270000	25048000	32928000	30706000	26851000	24823000	27065000	26963000	27723000	29247000	212490000	228010000	228780000	231490000	215190000	219850000	231960000	231400000	236290000		132	"593;1364;4104;4281;6359"	"True;True;True;True;True"	101	73
sp|P04801|SYTC_YEAST	sp|P04801|SYTC_YEAST	16	16	16	sp|P04801|SYTC_YEAST Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THS1 PE=1 SV=2	1	16	16	16	12	15	13	13	14	15	14	12	15	12	15	13	13	14	15	14	12	15	22.9	22.9	84.519	734	734	0	128.75	2798300000	58297000	2212400	3524000	2884800	2422700	2587300	2696700	2327200	1980200	2514600	118180000	114520000	118880000	121070000	125440000	119120000	122150000	118780000	120780000		133	"255;1106;2401;2623;2689;3133;4664;4938;5073;5074;6528;6740;6741;6776;6800;7047"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P04802|SYDC_YEAST	sp|P04802|SYDC_YEAST	18	18	18	sp|P04802|SYDC_YEAST Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DPS1 PE=1 SV=3	1	18	18	18	17	16	15	17	16	18	17	17	17	17	16	15	17	16	18	17	17	17	42.7	42.7	63.515	557	557	0	254.33	6675000000	180410000	6597100	8622700	7332100	7122100	7387000	7581100	7022500	7250200	7345800	270220000	291280000	277200000	295010000	306020000	296430000	284010000	279280000	288730000		134	"357;565;627;1036;1234;1570;1879;1903;2027;2752;2958;3142;3795;3958;4930;5083;5138;6736"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P04806|HXKA_YEAST	sp|P04806|HXKA_YEAST	23	21	21	sp|P04806|HXKA_YEAST Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXK1 PE=1 SV=2	1	23	21	21	16	16	18	16	17	19	19	18	18	16	16	18	16	17	19	19	18	18	63.7	63.7	53.738	485	485	0	323.31	10840000000	361330000	12508000	15187000	14479000	14047000	14472000	15194000	14189000	15819000	15225000	448620000	410940000	426040000	484580000	487860000	476050000	494050000	483090000	479920000		135	"753;822;986;1338;1433;2050;2051;2095;2448;2522;2651;2905;3230;3395;3451;3463;3756;4052;4187;5793;5886;5887;6880"	"True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;True"		
sp|P04807|HXKB_YEAST	sp|P04807|HXKB_YEAST	24	24	22	sp|P04807|HXKB_YEAST Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXK2 PE=1 SV=4	1	24	24	22	22	22	21	23	21	23	23	24	23	20	20	19	21	19	21	21	22	21	74.1	70.6	53.942	486	486	0	323.31	26083000000	841390000	31668000	36579000	35148000	34362000	33376000	33395000	35265000	35975000	35807000	1098500000	1054600000	1055000000	1183600000	1174600000	1123400000	1206800000	1186400000	1200800000		136	"145;823;1333;1432;1613;2049;2094;2451;2658;2714;2905;3096;3223;3230;3426;4026;4034;4097;4370;4527;5794;5885;6057;6863"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P04840|VDAC1_YEAST	sp|P04840|VDAC1_YEAST	17	17	17	sp|P04840|VDAC1_YEAST Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=POR1 PE=1 SV=4	1	17	17	17	14	14	14	17	15	15	14	15	15	14	14	14	17	15	15	14	15	15	67.1	67.1	30.428	283	283	0	211.96	11169000000	657000000	24861000	32124000	29098000	26396000	26184000	26715000	25685000	25972000	26888000	491660000	506960000	487950000	492630000	506400000	504050000	454370000	453640000	486290000		137	"286;775;776;1057;1959;3537;3538;3884;3966;4035;4453;4905;4952;5085;5426;6583;6837"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
"sp|P04911|H2A1_YEAST;sp|P04912|H2A2_YEAST;sp|Q12692|H2AZ_YEAST"	"sp|P04911|H2A1_YEAST;sp|P04912|H2A2_YEAST"	"4;4;1"	"4;4;1"	"4;4;1"	"sp|P04911|H2A1_YEAST Histone H2A.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTA1 PE=1 SV=2;sp|P04912|H2A2_YEAST Histone H2A.2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTA2 PE=1 SV=2"	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	51.5	51.5	13.989	132	"132;132;134"	0	41.512	3643600000	520510000	22678000	22479000	22638000	19256000	20849000	20606000	20038000	20470000	20705000	172200000	141630000	153410000	156210000	165530000	156910000	154340000	157040000	149920000		138	"195;2508;2745;3803"	"True;True;True;True"		
"sp|P05030|PMA1_YEAST;sp|P19657|PMA2_YEAST"	"sp|P05030|PMA1_YEAST;sp|P19657|PMA2_YEAST"	"18;12"	"18;12"	"18;12"	"sp|P05030|PMA1_YEAST Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMA1 PE=1 SV=2;sp|P19657|PMA2_YEAST Plasma membrane ATPase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMA2 PE=1"	2	18	18	18	17	18	17	17	17	17	17	17	18	17	18	17	17	17	17	17	17	18	28.1	28.1	99.618	918	"918;947"	0	261.49	6804800000	194420000	7512300	9059700	8279900	7619500	7714200	7750800	7787000	7796700	8094800	284120000	285370000	268160000	300570000	318640000	299430000	285220000	275450000	288010000		139	"84;779;1974;2409;2554;3112;3148;3366;3635;4793;4794;5042;5561;5892;6079;6428;6615;6676"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P05317|RLA0_YEAST	sp|P05317|RLA0_YEAST	10	10	10	sp|P05317|RLA0_YEAST 60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP0 PE=1 SV=2	1	10	10	10	9	9	9	8	8	8	9	9	9	9	9	9	8	8	8	9	9	9	36.2	36.2	33.717	312	312	0	168.08	9292200000	580760000	22560000	27394000	24262000	22508000	23432000	23089000	22118000	24421000	24383000	390290000	379760000	377210000	405020000	419580000	400520000	432750000	404110000	408230000		140	"171;591;607;2062;2243;2331;3158;4017;5332;6028"	"True;True;True;True;True;True;True;True;True;True"		
sp|P05318|RLA1_YEAST	sp|P05318|RLA1_YEAST	2	2	2	sp|P05318|RLA1_YEAST 60S acidic ribosomal protein P1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP1A PE=1 SV=4	1	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	43.4	43.4	10.908	106	106	0	48.188	4569400000	913890000	38042000	39922000	39976000	35010000	36772000	35098000	37439000	37047000	36679000	211940000	177530000	195210000	196310000	206190000	203050000	207860000	197870000	198980000		141	"3854;5517"	"True;True"		
sp|P05319|RLA2_YEAST	sp|P05319|RLA2_YEAST	5	5	5	sp|P05319|RLA2_YEAST 60S acidic ribosomal protein P2-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP2A PE=1 SV=1	1	5	5	5	5	5	5	4	3	5	4	4	4	5	5	5	4	3	5	4	4	4	52.8	52.8	10.746	106	106	0	225.71	3715900000	619320000	29679000	35207000	25402000	37404000	21380000	23094000	24938000	25419000	23075000	165500000	165710000	143830000	154600000	154620000	155460000	166110000	160900000	148490000		142	"252;253;5556;6606;6979"	"True;True;True;True;True"		
sp|P05694|METE_YEAST	sp|P05694|METE_YEAST	40	40	40	sp|P05694|METE_YEAST 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4	1	40	40	40	32	37	34	34	33	35	35	33	33	32	37	34	34	33	35	35	33	33	64.8	64.8	85.859	767	767	0	323.31	17407000000	334740000	12397000	16414000	13749000	12876000	12851000	13596000	13481000	12605000	14178000	704410000	728680000	692190000	759940000	739630000	739210000	734720000	736220000	757650000		146	"70;297;428;563;637;715;738;1076;1312;1451;1713;1720;1938;2055;2202;2332;2945;3040;3057;3173;3174;3444;3491;4068;4718;4741;4792;4953;5094;5472;5997;5998;6009;6289;6384;6567;6717;6870;7102;7103"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
"sp|P05738|RL9A_YEAST;sp|P51401|RL9B_YEAST"	"sp|P05738|RL9A_YEAST;sp|P51401|RL9B_YEAST"	"7;6"	"7;6"	"7;6"	"sp|P05738|RL9A_YEAST 60S ribosomal protein L9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL9A PE=1 SV=2;sp|P51401|RL9B_YEAST 60S ribosomal protein L9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL9"	2	7	7	7	7	6	7	6	6	7	7	7	7	7	6	7	6	6	7	7	7	7	40.8	40.8	21.569	191	"191;191"	0	76.367	2479900000	206660000	7495900	8575900	10361000	8279000	7690700	7779900	7157000	8534500	7980900	105440000	112070000	109470000	105530000	96855000	104010000	103330000	102130000	102880000		147	"1742;2483;4478;5373;6508;6971;7110"	"True;True;True;True;True;True;True"		
sp|P05739|RL6B_YEAST	sp|P05739|RL6B_YEAST	8	8	4	sp|P05739|RL6B_YEAST 60S ribosomal protein L6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL6B PE=1 SV=4	1	8	8	4	8	8	8	8	8	8	8	8	8	4	4	4	4	4	4	4	4	4	47.7	24.4	19.986	176	176	0	47.542	5523800000	502160000	19187000	24945000	22968000	19099000	19331000	20787000	18691000	18509000	19372000	223500000	237420000	232780000	226500000	230920000	227620000	202490000	206340000	209200000		148	"338;497;1090;1795;2502;6610;6822;7096"	"True;True;True;True;True;True;True;True"		
sp|P05740|RL17A_YEAST	sp|P05740|RL17A_YEAST	6	6	1	sp|P05740|RL17A_YEAST 60S ribosomal protein L17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL17A PE=1 SV=4	1	6	6	1	5	4	6	6	6	5	5	5	5	1	1	1	1	1	1	1	1	1	45.1	5.4	20.549	184	184	0	119.53	3916900000	391690000	10993000	18301000	16232000	14564000	13815000	16998000	16992000	17072000	17742000	156000000	145320000	167080000	170060000	165260000	162510000	167110000	167810000	176210000		149	"1456;1793;1923;2912;4273;6992"	"True;True;True;True;True;True"		
"sp|P05748|RL15A_YEAST;sp|P54780|RL15B_YEAST"	"sp|P05748|RL15A_YEAST;sp|P54780|RL15B_YEAST"	"7;5"	"7;5"	"7;5"	"sp|P05748|RL15A_YEAST 60S ribosomal protein L15-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL15A PE=1 SV=3;sp|P54780|RL15B_YEAST 60S ribosomal protein L15-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN"	2	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	36.3	36.3	24.422	204	"204;204"	0	40.14	4975400000	452310000	17011000	21349000	18805000	17716000	17231000	18864000	16873000	17670000	18069000	212490000	207340000	199150000	218940000	210990000	228840000	201610000	209930000	207140000		153	"1983;4859;4920;6457;6903;6988;7030"	"True;True;True;True;True;True;True"		
sp|P05750|RS3_YEAST	sp|P05750|RS3_YEAST	17	17	17	sp|P05750|RS3_YEAST 40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS3 PE=1 SV=5	1	17	17	17	15	15	15	16	15	17	16	17	17	15	15	15	16	15	17	16	17	17	67.5	67.5	26.502	240	240	0	252.51	12759000000	750530000	28573000	33408000	31423000	28700000	28958000	30040000	30270000	31681000	32620000	551410000	545900000	551870000	549010000	568040000	567610000	524120000	539830000	533460000		155	"52;350;351;1056;1140;1288;1563;1992;2206;2908;3822;4150;4982;5000;6000;6001;6838"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P05755|RS9B_YEAST	sp|P05755|RS9B_YEAST	13	13	1	sp|P05755|RS9B_YEAST 40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9B PE=1 SV=4	1	13	13	1	10	10	10	10	10	10	10	11	12	1	1	1	1	1	1	1	1	1	47.7	8.2	22.298	195	195	0	71.951	3986800000	249170000	7746600	10390000	9164600	11439000	7697000	7835600	8240200	9310000	10178000	160680000	187160000	166980000	180150000	166290000	174930000	153690000	152040000	159910000		156	"2481;2482;2994;3153;3257;3414;3524;3575;4009;4884;5006;5011;6235"	"True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P05756|RS13_YEAST	sp|P05756|RS13_YEAST	6	6	6	sp|P05756|RS13_YEAST 40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS13 PE=1 SV=3	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	35.1	35.1	17.029	151	151	0	42.861	4363800000	396710000	15429000	21282000	18070000	15573000	15909000	16400000	14200000	14703000	14917000	190190000	205320000	191310000	190460000	198040000	201530000	161690000	171630000	175470000		157	"2144;2211;3226;3716;4086;6072"	"True;True;True;True;True;True"		
sp|P05759|RS31_YEAST	sp|P05759|RS31_YEAST	9	9	2	sp|P05759|RS31_YEAST Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS31 PE=1 SV=3	1	9	9	2	9	9	8	8	8	9	8	9	8	2	2	2	2	2	2	2	2	2	54.6	16.4	17.216	152	152	0	270.76	11312000000	942680000	36026000	51587000	44318000	38193000	36740000	41541000	35228000	33326000	36114000	450010000	485310000	473760000	458260000	426290000	479370000	412000000	415440000	393600000		158	"1119;1194;1446;2962;3454;4357;4871;5868;5923"	"True;True;True;True;True;True;True;True;True"		
sp|P06106|CYSD_YEAST	sp|P06106|CYSD_YEAST	15	15	15	sp|P06106|CYSD_YEAST Homocysteine/cysteine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET17 PE=1 SV=3	1	15	15	15	14	13	15	14	14	12	15	14	14	14	13	15	14	14	12	15	14	14	43.7	43.7	48.671	444	444	0	150.08	5252800000	218860000	8733600	10076000	9791600	7983200	8840500	8023900	8566000	9162700	9573800	225750000	221930000	225100000	218780000	236800000	224640000	223610000	230550000	234520000		162	"594;612;857;875;1831;1904;1905;2470;3065;3445;4046;4784;5936;6919;7028"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
"sp|P06168|ILV5_YEAST;REV__sp|P36166|PXL1_YEAST"	sp|P06168|ILV5_YEAST	"16;1"	"16;1"	"16;1"	sp|P06168|ILV5_YEAST Ketol-acid reductoisomerase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ILV5 PE=1 SV=1	2	16	16	16	14	13	14	15	15	14	15	15	15	14	13	14	15	15	14	15	15	15	54.9	54.9	44.368	395	"395;706"	0	323.31	12175000000	450920000	16760000	20773000	18469000	17342000	16779000	17905000	18742000	19589000	18711000	491840000	520010000	472260000	535680000	526040000	533370000	544230000	573060000	545770000		163	"32;451;886;1303;1517;1968;2134;2320;4399;4438;4562;4875;4993;5323;5941;6939"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
"sp|P06169|PDC1_YEAST;sp|Q07471|THI3_YEAST"	sp|P06169|PDC1_YEAST	"32;1"	"32;1"	"24;0"	sp|P06169|PDC1_YEAST Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7	2	32	32	24	30	31	31	30	31	30	30	30	30	24	23	24	23	23	23	23	24	24	67.7	50.8	61.495	563	"563;609"	0	323.31	1,8766E+11	6255400000	243010000	284830000	271570000	246030000	245260000	254370000	260770000	261800000	264610000	7688500000	7581800000	7784700000	7963900000	8017200000	7825200000	8049100000	8219800000	8240700000		164	"474;688;1109;1506;2406;3127;3266;3682;3757;3758;3840;3841;3860;4315;4360;4412;4539;4626;4796;4903;4970;4971;5155;5968;6067;6182;6183;6375;6754;6778;6925;6926"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"102;103;104;105;106"	"43;247;326;535;539"
"sp|P06208|LEU1_YEAST;sp|Q12166|LEU9_YEAST"	sp|P06208|LEU1_YEAST	"16;6"	"16;6"	"16;6"	sp|P06208|LEU1_YEAST 2-isopropylmalate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LEU4 PE=1 SV=1	2	16	16	16	14	14	12	13	12	11	13	14	15	14	14	12	13	12	11	13	14	15	31.7	31.7	68.408	619	"619;604"	0	227.34	2782900000	75214000	3224100	3562600	3130400	3087300	2659800	2607900	2915500	2915000	3444500	116600000	123010000	108320000	128920000	128390000	120810000	119630000	114380000	126270000		166	"449;774;1040;1112;1232;1267;1324;2073;2956;4199;4593;5336;6077;6195;6779;6845"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
"sp|P06367|RS14A_YEAST;sp|P39516|RS14B_YEAST"	"sp|P06367|RS14A_YEAST;sp|P39516|RS14B_YEAST"	"8;8"	"8;8"	"8;8"	"sp|P06367|RS14A_YEAST 40S ribosomal protein S14-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS14A PE=1 SV=5;sp|P39516|RS14B_YEAST 40S ribosomal protein S14-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN"	2	8	8	8	6	7	6	6	7	7	7	6	7	6	7	6	6	7	7	7	6	7	62.8	62.8	14.536	137	"137;138"	0	59.376	5519400000	613260000	22399000	32009000	29547000	23573000	22650000	24444000	22514000	23229000	23874000	228380000	218300000	230560000	219510000	210580000	223470000	238420000	246150000	245640000		167	"81;905;1504;2655;2656;3124;5884;5978"	"True;True;True;True;True;True;True;True"		
sp|P06738|PHSG_YEAST	sp|P06738|PHSG_YEAST	23	23	23	sp|P06738|PHSG_YEAST Glycogen phosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPH1 PE=1 SV=4	1	23	23	23	19	17	21	19	18	19	20	20	20	19	17	21	19	18	19	20	20	20	36	36	103.27	902	902	0	219.64	4716900000	85762000	3113300	3222900	3836700	3439700	3455100	3516700	3605700	3543400	3550600	188100000	170170000	191310000	204080000	209080000	196620000	199160000	199740000	190570000		169	"112;124;301;999;1235;1372;1967;2653;2772;3004;3380;3733;4116;4275;4459;4489;4790;4935;5578;6051;6416;6801;6895"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P07149|FAS1_YEAST	sp|P07149|FAS1_YEAST	59	59	59	sp|P07149|FAS1_YEAST Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2	1	59	59	59	52	49	50	49	51	49	55	53	52	52	49	50	49	51	49	55	53	52	40.1	40.1	228.69	2051	2051	0	323.31	21607000000	181570000	6943800	8789900	7402200	7287300	7415100	7561000	7411900	7632900	7358600	912070000	888570000	855550000	969740000	972040000	967990000	945810000	945180000	936450000		173	"17;45;211;239;279;293;303;330;524;542;654;814;846;961;1048;1165;1252;1532;1533;1540;1624;1638;1757;1768;1850;2151;2190;2226;2247;2412;2419;2432;2621;2868;3066;3069;3305;3799;3833;4165;4237;4307;4586;4621;5295;5362;5410;5685;6082;6116;6146;6288;6327;6395;6471;6503;6587;6767;6995"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P07170|KAD2_YEAST	sp|P07170|KAD2_YEAST	11	11	11	sp|P07170|KAD2_YEAST Adenylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADK1 PE=1 SV=2	1	11	11	11	11	9	10	10	9	9	11	10	10	11	9	10	10	9	9	11	10	10	59.9	59.9	24.254	222	222	0	85.939	4851700000	269540000	11449000	12247000	10141000	9798000	9520900	10043000	10974000	11267000	10471000	198030000	211680000	191960000	212740000	203190000	205950000	198140000	205450000	209230000		174	"735;1699;2336;2337;2708;3393;3394;4380;4491;5796;6203"	"True;True;True;True;True;True;True;True;True;True;True"		
sp|P07245|C1TC_YEAST	sp|P07245|C1TC_YEAST	17	17	17	sp|P07245|C1TC_YEAST C-1-tetrahydrofolate synthase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE3 PE=1 SV=1	1	17	17	17	16	16	15	16	15	16	15	15	15	16	16	15	16	15	16	15	15	15	24.2	24.2	102.2	946	946	0	180.12	4230600000	78344000	2941200	3750800	2987500	3265400	2618200	2997200	2766400	3226000	3440800	181090000	187970000	173530000	183680000	181850000	179960000	181220000	193290000	185980000		177	"421;997;1408;1650;2381;3857;4171;4385;4422;4880;5122;5271;5429;5962;6018;6716;6963"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P07251|ATPA_YEAST	sp|P07251|ATPA_YEAST	21	21	21	sp|P07251|ATPA_YEAST ATP synthase subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP1 PE=1 SV=5	1	21	21	21	15	16	14	18	16	15	20	19	18	15	16	14	18	16	15	20	19	18	40.4	40.4	58.607	545	545	0	156.62	9270400000	280920000	9712700	11290000	10792000	11398000	11429000	9923600	11254000	11231000	11055000	379100000	409200000	397730000	409760000	398970000	413700000	405820000	409180000	384590000		179	"432;467;559;1113;1326;2222;2383;2431;2724;2817;3585;4133;5029;5393;5544;5572;5675;5801;6417;6657;6658"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P07257|QCR2_YEAST	sp|P07257|QCR2_YEAST	20	20	20	sp|P07257|QCR2_YEAST Cytochrome b-c1 complex subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR2 PE=1 SV=1	1	20	20	20	19	18	18	20	17	16	19	20	18	19	18	18	20	17	16	19	20	18	64.9	64.9	40.478	368	368	0	323.31	7810900000	300420000	10965000	16180000	13844000	14262000	10756000	12483000	11582000	13795000	11230000	331200000	317320000	307280000	353120000	340310000	341960000	351240000	335080000	336580000		181	"495;521;923;924;1429;1662;1711;1786;1796;1878;1901;2178;3498;3755;4415;5054;5635;6595;6596;6883"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P07259|PYR1_YEAST	sp|P07259|PYR1_YEAST	90	90	89	sp|P07259|PYR1_YEAST Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5	1	90	90	89	80	77	81	81	87	82	79	81	81	79	76	80	80	86	81	78	80	80	47.7	47.3	245.04	2214	2214	0	323.31	35946000000	260480000	10062000	12336000	11522000	10413000	10428000	10564000	10093000	10394000	10794000	1521600000	1556800000	1514900000	1611600000	1577300000	1585700000	1539400000	1546900000	1547800000		182	"51;192;257;335;525;736;783;958;959;983;1037;1054;1150;1211;1221;1231;1236;1282;1310;1353;1356;1357;1499;1543;1745;1792;1865;2110;2116;2248;2485;2505;2524;2624;2757;2822;2851;2916;3014;3022;3035;3095;3222;3341;3452;3586;3637;3669;3748;3812;3819;3950;4074;4121;4223;4272;4325;4429;4845;5005;5056;5277;5342;5432;5511;5625;5689;5713;5744;5857;5858;5869;5888;5995;6038;6231;6263;6335;6355;6441;6442;6540;6591;6608;6614;6686;6738;6793;6934;7078"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	107	1101
